dt_venda,key_loja,cod_produto,qtd_vendas,vlr_venda_tabelado_mean,vlr_desconto_mean,categoria_produto,sub_categoria_produto,linha_produto
2024-02-26,1,74096,1,509.7,93.03,157293.0,483679,264366
2024-02-26,1,82037,1,224.7,0.0,157293.0,483679,390554
2024-02-26,1,82045,2,230.7,48.0,217.0,422944,731659
2024-02-26,1,83372,1,254.7,48.0,955075.0,483679,264366
2024-02-26,2,25458,2,404.7,0.0,157293.0,483679,284036
2024-02-26,2,47905,1,374.7,0.0,157293.0,483679,85436
2024-02-26,2,48060,16,681.975,149.1375,217.0,422944,306420
2024-02-26,2,48281,13,390.4153846153846,106.01538461538462,217.0,422944,731659
2024-02-26,2,48282,4,230.7,0.0,217.0,422944,731659
2024-02-26,2,48545,2,134.7,0.0,217.0,422944,390554
2024-02-26,2,48675,7,195.08571428571426,45.66857142857143,217.0,422944,731659
2024-02-26,2,49883,2,140.7,0.0,217.0,422944,390554
2024-02-26,2,49954,1,230.7,0.0,217.0,422944,731659
2024-02-26,2,50651,2,464.7,0.0,157293.0,311781,736254
2024-02-26,2,51387,3,614.7,120.0,157293.0,483679,212257
2024-02-26,2,51395,4,614.7,120.0,157293.0,311781,212257
2024-02-26,2,52004,3,307.59999999999997,78.32000000000001,217.0,422944,731659
2024-02-26,2,74096,9,736.2333333333332,134.37666666666667,157293.0,483679,264366
2024-02-26,2,76664,2,389.7,39.0,157293.0,311781,109471
2024-02-26,2,76666,2,404.7,42.0,157293.0,311781,109471
2024-02-26,2,77690,1,377.4,0.0,217.0,422944,390554
2024-02-26,2,77989,1,869.7,0.0,157293.0,483679,306420
2024-02-26,2,83053,1,134.7,0.0,217.0,422944,390554
2024-02-26,2,83845,1,1017.0,191.1,157293.0,483679,120030
2024-02-26,2,84204,1,134.7,0.0,217.0,422944,390554
2024-02-26,3,25458,3,419.7,0.0,157293.0,483679,284036
2024-02-26,3,25475,1,419.7,0.0,157293.0,483679,284036
2024-02-26,3,29226,1,389.7,0.0,217.0,422944,200277
2024-02-26,3,48060,1,1558.8,427.08,217.0,422944,306420
2024-02-26,3,48062,5,911.04,270.63599999999997,217.0,422944,306420
2024-02-26,3,48281,4,403.725,116.22,217.0,422944,731659
2024-02-26,3,48282,1,230.7,0.0,217.0,422944,731659
2024-02-26,3,48375,1,389.7,0.0,217.0,422944,200277
2024-02-26,3,48645,1,389.7,0.0,955075.0,422944,200277
2024-02-26,3,48672,1,164.7,33.0,217.0,422944,731659
2024-02-26,3,48675,6,284.5,83.76,217.0,422944,731659
2024-02-26,3,48676,1,170.7,0.0,217.0,422944,731659
2024-02-26,3,48680,1,170.7,0.0,217.0,422944,731659
2024-02-26,3,49890,1,269.4,0.0,217.0,422944,390554
2024-02-26,3,51387,4,614.7,120.0,157293.0,483679,212257
2024-02-26,3,51395,2,614.7,120.0,157293.0,311781,212257
2024-02-26,3,52004,1,461.4,138.96,217.0,422944,731659
2024-02-26,3,52005,2,251.54999999999998,77.22,217.0,422944,731659
2024-02-26,3,52008,1,164.7,33.0,217.0,422944,731659
2024-02-26,3,54184,1,137.7,0.0,217.0,422944,390554
2024-02-26,3,74096,7,509.7,93.03,157293.0,483679,264366
2024-02-26,3,76666,1,419.7,42.0,157293.0,311781,109471
2024-02-26,3,77989,2,899.7,0.0,157293.0,483679,306420
2024-02-26,3,81177,1,794.7,0.0,157293.0,483679,511346
2024-02-26,3,81423,1,389.7,0.0,217.0,422944,200277
2024-02-26,3,82060,1,1017.0,191.1,157293.0,483679,120030
2024-02-26,3,83053,1,269.4,0.0,217.0,422944,390554
2024-02-26,4,1428,3,230.69999999999996,0.0,217.0,422944,731659
2024-02-26,4,25458,5,419.7,0.0,157293.0,483679,284036
2024-02-26,4,29226,2,389.7,0.0,217.0,422944,200277
2024-02-26,4,48060,9,649.5,148.62,217.0,422944,306420
2024-02-26,4,48281,18,243.51666666666668,53.053333333333335,217.0,422944,731659
2024-02-26,4,48282,1,230.7,0.0,217.0,422944,731659
2024-02-26,4,48545,1,134.7,0.0,217.0,422944,390554
2024-02-26,4,48635,3,419.7,0.0,955075.0,483679,284036
2024-02-26,4,48672,4,164.7,33.0,217.0,422944,731659
2024-02-26,4,48675,6,199.14999999999998,44.64000000000001,217.0,422944,731659
2024-02-26,4,48676,3,227.6,0.0,217.0,422944,731659
2024-02-26,4,48680,2,170.7,0.0,217.0,422944,731659
2024-02-26,4,48734,1,989.7,0.0,157293.0,483679,306420
2024-02-26,4,49825,1,188.7,0.0,217.0,422944,390554
2024-02-26,4,49887,1,140.7,0.0,217.0,422944,390554
2024-02-26,4,49896,1,269.4,0.0,217.0,422944,390554
2024-02-26,4,49897,2,188.7,0.0,217.0,422944,390554
2024-02-26,4,49954,1,230.7,0.0,217.0,422944,731659
2024-02-26,4,52004,6,269.15,70.32000000000001,217.0,422944,731659
2024-02-26,4,52005,5,201.23999999999998,58.67999999999999,217.0,422944,731659
2024-02-26,4,52008,2,164.7,33.0,217.0,422944,731659
2024-02-26,4,54184,1,137.7,0.0,217.0,422944,390554
2024-02-26,4,74096,13,509.69999999999993,93.03,157293.0,483679,264366
2024-02-26,4,77690,2,188.7,0.0,217.0,422944,390554
2024-02-26,4,77989,1,899.7,0.0,157293.0,483679,306420
2024-02-26,4,81177,1,794.7,0.0,157293.0,483679,511346
2024-02-26,4,82045,6,269.15,66.74,217.0,422944,731659
2024-02-26,4,82060,2,1017.0,191.1,157293.0,483679,120030
2024-02-26,4,82250,5,170.7,45.504000000000005,217.0,422944,731659
2024-02-26,4,83372,1,254.7,48.0,157293.0,483679,264366
2024-02-26,4,84203,4,235.875,0.0,217.0,422944,390554
2024-02-26,5,1650,1,335.4,0.0,217.0,422944,731659
2024-02-26,5,25458,5,404.7,0.0,157293.0,483679,284036
2024-02-26,5,25475,1,404.7,0.0,157293.0,483679,284036
2024-02-26,5,47851,8,580.875,290.4375,157293.0,311781,736254
2024-02-26,5,47905,5,599.52,299.76,157293.0,483679,85436
2024-02-26,5,48060,28,988.1678571428572,234.375,217.0,422944,306420
2024-02-26,5,48062,52,848.625,251.8176923076923,217.0,422944,306420
2024-02-26,5,48145,2,374.7,0.0,157293.0,483679,85436
2024-02-26,5,48281,28,519.075,151.7507142857143,217.0,422944,731659
2024-02-26,5,48282,2,230.7,0.0,217.0,422944,731659
2024-02-26,5,48375,2,389.7,0.0,217.0,422944,200277
2024-02-26,5,48672,5,164.7,40.751999999999995,217.0,422944,731659
2024-02-26,5,48673,1,164.7,0.0,217.0,422944,731659
2024-02-26,5,48675,2,256.04999999999995,77.75999999999999,217.0,422944,731659
2024-02-26,5,48676,2,341.4,0.0,217.0,422944,731659
2024-02-26,5,49824,1,269.4,0.0,217.0,422944,390554
2024-02-26,5,49881,22,780.5318181818183,270.24545454545455,217.0,422944,390554
2024-02-26,5,49890,1,269.4,0.0,217.0,422944,390554
2024-02-26,5,49896,1,269.4,0.0,217.0,422944,390554
2024-02-26,5,50651,2,464.7,0.0,157293.0,311781,736254
2024-02-26,5,51387,1,614.7,178.17,157293.0,483679,212257
2024-02-26,5,51395,5,614.7,131.634,157293.0,311781,212257
2024-02-26,5,52004,7,263.65714285714284,80.96142857142857,217.0,422944,731659
2024-02-26,5,52005,4,209.625,50.8125,217.0,422944,731659
2024-02-26,5,52008,2,164.7,52.379999999999995,217.0,422944,731659
2024-02-26,5,74096,6,1274.25,232.57500000000002,157293.0,483679,264366
2024-02-26,5,74722,1,494.7,0.0,157293.0,483679,306420
2024-02-26,5,75152,1,134.7,0.0,217.0,422944,390554
2024-02-26,5,76666,4,607.05,94.995,157293.0,311781,109471
2024-02-26,5,77684,1,779.4,194.82,217.0,422944,306420
2024-02-26,5,77690,1,377.4,94.32,217.0,422944,390554
2024-02-26,5,77989,1,869.7,0.0,157293.0,483679,306420
2024-02-26,5,81423,1,389.7,0.0,217.0,422944,200277
2024-02-26,5,82037,4,224.7,0.0,157293.0,483679,390554
2024-02-26,5,82045,7,494.35714285714283,165.81857142857143,217.0,422944,731659
2024-02-26,5,82046,2,164.7,52.379999999999995,217.0,422944,731659
2024-02-26,5,83372,6,297.15,56.0,955075.0,483679,264366
2024-02-26,5,84206,2,209.7,41.94,217.0,422944,390554
2024-02-26,6,25458,2,419.7,0.0,157293.0,483679,284036
2024-02-26,6,48060,14,1002.0857142857143,250.30928571428572,217.0,422944,306420
